PX575678.1	𝟇.1.7
OQ799794.1	𝟇.5.9
ON855152.1	𝟇.3.2
MF168305.1	𝟇.3.1
KJ919775.1	𝟇.3.1
MT854942.1	𝟇.3.1
MG181770.1	𝟇.1.1
MN552069.1	𝟇.1.1
KF036159.2	𝟇.3.1
EU372742.1	𝟇.3.1
PQ055664.1	𝟇.3.1
PP751049.1	𝟇.1.1
LC172720.1	𝟇.1.1
MN106126.1	𝟇.3.1
MZ093797.1	𝟇.1.1
KX279745.1	𝟇.3.1
LC727729.1	𝟇.2.6
LC569535.1	𝟇.3.1
KF812676.1	𝟇.3.1
PP848590.1	𝟇.1.1
ON737699.1	𝟇.1.1
KC443149.1	𝟇.1.1
KC579829.1	𝟇.3.2
DQ490538.1	𝟇.17
KJ412823.1	𝟇.18.1
OR205435.1	𝟇.1.1
LC172700.1	𝟇.1.1
KU243659.1	𝟇.63.1
HQ846859.1	𝟇.1.31
KP753010.1	𝟇.5.169
OL388440.1	𝟇.40.1
HQ171912.1	𝟇.1.75
KC769331.1	𝟇.3.3
LC875870.1	𝟇.3.8
MN478911.1	𝟇.3.2
FJ423118.1	𝟇.3.2
PQ733909.1	𝟇.1.3
HQ611009.2	𝟇.3.14
KX363436.1	𝟇.3.8
PV430778.1	𝟇.5.81
LC000537.1	𝟇.73
PX677594.1	𝟇.5.204
FJ947820.1	𝟇.11.2
AB924099.1	𝟇.5.101
PV430798.1	𝟇.12.19
LC467880.1	𝟇.7.2
JN258897.1	𝟇.3.3
PP053577.1	𝟇.3.16
OQ799746.1	𝟇.81.1
LC001923.1	𝟇.4.1
MN047454.1	𝟇.1.22
PV430848.1	𝟇.5.3
PV390401.1	𝟇.12.1
EU372764.1	𝟇.5.8
OQ799759.1	𝟇.5.24
PP987321.1	𝟇.1.66
KF500523.1	𝟇.1.53
PV288711.1	𝟇.1.87
KJ628075.1	𝟇.7.1
MN478846.1	𝟇.1.3
OQ799784.1	𝟇.5.24
ON736959.1	𝟇.5.156
LC433789.1	𝟇.12.39
PP053604.1	𝟇.5.10
EU372771.1	𝟇.5.8
FJ947301.1	𝟇.11.2
OQ799787.1	𝟇.5.80
